target,demand,PoA
0.4,1.4,1.038978979
0.4,1.5,1.037035063
0.4,1.6,1.035245876
0.4,1.7,1.033598212
0.4,1.8,1.03207926
0.4,1.9,1.030676993
0.4,2,1.029380344
0.45,-0.9,1
0.45,-0.8,1
0.45,-0.7,1
0.45,-0.6,1
0.45,-0.5,1
0.45,-0.4,1.002679132
0.45,-0.3,1.014517597
0.45,-0.2,1.025265377
0.45,-0.1,1.037615993
0.45,0,1.049051245
0.45,0.1,1.057613128
0.45,0.2,1.062672731
0.45,0.3,1.064649927
0.45,0.4,1.064381558
0.45,0.5,1.062683219
0.45,0.6,1.060180822
0.45,0.7,1.057298447
0.45,0.8,1.054301513
0.45,0.9,1.051345895
0.45,1,1.048516932
0.45,1.1,1.045856511
0.45,1.2,1.043380643
0.45,1.3,1.041090468
0.45,1.4,1.038978979
0.45,1.5,1.037035063
0.45,1.6,1.035245876
0.45,1.7,1.033598212
0.45,1.8,1.03207926
0.45,1.9,1.030676993
0.45,2,1.029380344
0.5,-0.9,1
0.5,-0.8,1
0.5,-0.7,1
0.5,-0.6,1
0.5,-0.5,1
0.5,-0.4,1
0.5,-0.3,1.014171075
0.5,-0.2,1.025265377
0.5,-0.1,1.037615993
0.5,0,1.049051245
0.5,0.1,1.057613128
0.5,0.2,1.062672731
0.5,0.3,1.064649927
0.5,0.4,1.064381558
0.5,0.5,1.062683219
0.5,0.6,1.060180822
0.5,0.7,1.057298447
0.5,0.8,1.054301513
0.5,0.9,1.051345895
0.5,1,1.048516932
0.5,1.1,1.045856511
0.5,1.2,1.043380643
0.5,1.3,1.041090468
0.5,1.4,1.038978979
0.5,1.5,1.037035063
0.5,1.6,1.035245876
0.5,1.7,1.033598212
0.5,1.8,1.03207926
0.5,1.9,1.030676993
0.5,2,1.029380344
0.55,-0.9,1
0.55,-0.8,1
0.55,-0.7,1
0.55,-0.6,1
0.55,-0.5,1
0.55,-0.4,1
0.55,-0.3,1
0.55,-0.2,1.025197434
0.55,-0.1,1.037615993
0.55,0,1.049051245
0.55,0.1,1.057613128
0.55,0.2,1.062672731
0.55,0.3,1.064649927
0.55,0.4,1.064381558
0.55,0.5,1.062683219
0.55,0.6,1.060180822
0.55,0.7,1.057298447
0.55,0.8,1.054301513
0.55,0.9,1.051345895
0.55,1,1.048516932
0.55,1.1,1.045856511
0.55,1.2,1.043380643
0.55,1.3,1.041090468
0.55,1.4,1.038978979
0.55,1.5,1.037035063
0.55,1.6,1.035245876
0.55,1.7,1.033598212
0.55,1.8,1.03207926
0.55,1.9,1.030676993
0.55,2,1.029380344
0.6,-0.9,1
0.6,-0.8,1
0.6,-0.7,1
0.6,-0.6,1
0.6,-0.5,1
0.6,-0.4,1
0.6,-0.3,1
0.6,-0.2,1
0.6,-0.1,1.037495072
0.6,0,1.049051245
0.6,0.1,1.057613128
0.6,0.2,1.062672731
0.6,0.3,1.064649927
0.6,0.4,1.064381558
0.6,0.5,1.062683219
0.6,0.6,1.060180822
0.6,0.7,1.057298447
0.6,0.8,1.054301513
0.6,0.9,1.051345895
0.6,1,1.048516932
0.6,1.1,1.045856511
0.6,1.2,1.043380643
0.6,1.3,1.041090468
0.6,1.4,1.038978979
0.6,1.5,1.037035063
0.6,1.6,1.035245876
0.6,1.7,1.033598212
0.6,1.8,1.03207926
0.6,1.9,1.030676993
0.6,2,1.029380344
0.65,-0.9,1
0.65,-0.8,1
0.65,-0.7,1
0.65,-0.6,1
0.65,-0.5,1
0.65,-0.4,1
0.65,-0.3,1
0.65,-0.2,1
0.65,-0.1,1.008556692
0.65,0,1.048358027
0.65,0.1,1.057613128
0.65,0.2,1.062672731
0.65,0.3,1.064649927
0.65,0.4,1.064381558
0.65,0.5,1.062683219
0.65,0.6,1.060180822
0.65,0.7,1.057298447
0.65,0.8,1.054301513
0.65,0.9,1.051345895
0.65,1,1.048516932
0.65,1.1,1.045856511
0.65,1.2,1.043380643
0.65,1.3,1.041090468
0.65,1.4,1.038978979
0.65,1.5,1.037035063
0.65,1.6,1.035245876
0.65,1.7,1.033598212
0.65,1.8,1.03207926
0.65,1.9,1.030676993
0.65,2,1.029380344
0.7,-0.9,1
0.7,-0.8,1
0.7,-0.7,1
0.7,-0.6,1
0.7,-0.5,1
0.7,-0.4,1
0.7,-0.3,1
0.7,-0.2,1
0.7,-0.1,1
0.7,0,1.019459716
0.7,0.1,1.05558026
0.7,0.2,1.062672731
0.7,0.3,1.064649927
0.7,0.4,1.064381558
0.7,0.5,1.062683219
0.7,0.6,1.060180822
0.7,0.7,1.057298447
0.7,0.8,1.054301513
0.7,0.9,1.051345895
0.7,1,1.048516932
0.7,1.1,1.045856511
0.7,1.2,1.043380643
0.7,1.3,1.041090468
0.7,1.4,1.038978979
0.7,1.5,1.037035063
0.7,1.6,1.035245876
0.7,1.7,1.033598212
0.7,1.8,1.03207926
0.7,1.9,1.030676993
0.7,2,1.029380344
0.75,-0.9,1
0.75,-0.8,1
0.75,-0.7,1
0.75,-0.6,1
0.75,-0.5,1
0.75,-0.4,1
0.75,-0.3,1
0.75,-0.2,1
0.75,-0.1,1
0.75,0,1
0.75,0.1,1.026207848
0.75,0.2,1.057579793
0.75,0.3,1.064022434
0.75,0.4,1.064381558
0.75,0.5,1.062683219
0.75,0.6,1.060180822
0.75,0.7,1.057298447
0.75,0.8,1.054301513
0.75,0.9,1.051345895
0.75,1,1.048516932
0.75,1.1,1.045856511
0.75,1.2,1.043380643
0.75,1.3,1.041090468
0.75,1.4,1.038978979
0.75,1.5,1.037035063
0.75,1.6,1.035245876
0.75,1.7,1.033598212
0.75,1.8,1.03207926
0.75,1.9,1.030676993
0.75,2,1.029380344
0.8,-0.9,1
0.8,-0.8,1
0.8,-0.7,1
0.8,-0.6,1
0.8,-0.5,1
0.8,-0.4,1
0.8,-0.3,1
0.8,-0.2,1
0.8,-0.1,1
0.8,0,1
0.8,0.1,1
0.8,0.2,1.005903806
0.8,0.3,1.048568128
0.8,0.4,1.059911037
0.8,0.5,1.061060611
0.8,0.6,1.060180822
0.8,0.7,1.057298447
0.8,0.8,1.054301513
0.8,0.9,1.051345895
0.8,1,1.048516932
0.8,1.1,1.045856511
0.8,1.2,1.043380643
0.8,1.3,1.041090468
0.8,1.4,1.038978979
0.8,1.5,1.037035063
0.8,1.6,1.035245876
0.8,1.7,1.033598212
0.8,1.8,1.03207926
0.8,1.9,1.030676993
0.8,2,1.029380344
0.85,-0.9,1
0.85,-0.8,1
0.85,-0.7,1
0.85,-0.6,1
0.85,-0.5,1
0.85,-0.4,1
0.85,-0.3,1
0.85,-0.2,1
0.85,-0.1,1
0.85,0,1
0.85,0.1,1
0.85,0.2,1
0.85,0.3,1
