capacityNH,capacityRG,PoA
1,1,FALSE
1,2,3.293059145
1,3,2.141746209
1,4,1.757471043
1,5,1.56488566
1,6,1.448909028
1,7,1.639548053
1,8,1.528383721
1,9,1.44829066
1,10,1.387502077
1,11,1.339462898
1,12,1.300222716
1,13,1.267251684
1,14,1.238849937
1,15,1.213831743
1,16,1.191347891
1,17,1.170782701
1,18,1.15169365
1,19,1.133776131
1,20,1.074471995
1,21,1.063909826
1,22,1.027453454
1,23,1.022490989
1,24,1.017980056
1,25,1.013988901
1,26,1.010567525
1,27,1.00773637
1,28,1.005481119
1,29,1.003754801
1,30,1.002486107
1,31,1.001591047
1,32,1.000984556
2,1,2.73959525
2,2,1.984239132
2,3,1.683891252
2,4,1.522258723
2,5,1.421003093
2,6,1.351382699
2,7,1.300357669
2,8,1.427082817
2,9,1.370887524
2,10,1.325988731
2,11,1.288976161
2,12,1.257629568
2,13,1.230437397
2,14,1.206334661
2,15,1.18455377
2,16,1.164537535
2,17,1.145888216
2,18,1.08195475
2,19,1.071051852
2,20,1.031002525
2,21,1.0257965
2,22,1.020988054
2,23,1.016649098
2,24,1.012843641
2,25,1.009613889
2,26,1.006970425
2,27,1.004889075
2,28,1.003314999
2,29,1.00217229
2,30,1.001375925
2,31,1.000842786
2,32,1.000499559
3,1,1.864385153
3,2,1.623029674
3,3,1.485394998
3,4,1.396187961
3,5,1.333443347
3,6,1.286694027
3,7,1.250310914
3,8,1.355373699
3,9,1.313280989
3,10,1.278278725
3,11,1.248410553
3,12,1.222328202
3,13,1.19907297
3,14,1.177950095
3,15,1.158455232
3,16,1.089648197
3,17,1.078416563
3,18,1.067722778
3,19,1.029256619
3,20,1.024195215
3,21,1.019548783
3,22,1.015387627
3,23,1.011770373
3,24,1.008730864
3,25,1.006269975
3,26,1.00435448
3,27,1.002922884
3,28,1.001895989
3,29,1.001188831
3,30,1.000720945
3,31,1.000423165
3,32,1.000240614
4,1,1.571790434
4,2,1.453159736
4,3,1.37395027
4,4,1.317086549
4,5,1.274071044
4,6,1.240192214
4,7,1.212621408
4,8,1.301252849
4,9,1.268069497
4,10,1.239549441
4,11,1.214487363
4,12,1.192019137
4,13,1.171515695
4,14,1.152520802
4,15,1.085978372
4,16,1.074967761
4,17,1.064491632
4,18,1
4,19,1
4,20,1
4,21,1
4,22,1
4,23,1
4,24,1
4,25,1
4,26,1
4,27,1
4,28,1
4,29,1
4,30,1
4,31,1
4,32,1
5,1,1.424701525
5,2,1.353885177
5,3,1.302095221
5,4,1.262363381
5,5,1.2307172
5,6,1.204721067
5,7,1.18279412
5,8,1.163862176
5,9,1.231015341
5,10,1.206891283
5,11,1.185154004
5,12,1.165234689
5,13,1.093738582
5,14,1.082401484
5,15,1
5,16,1
5,17,1
5,18,1
5,19,1
5,20,1
5,21,1
5,22,1
5,23,1
5,24,1
5,25,1
5,26,1
5,27,1
5,28,1
5,29,1
5,30,1
5,31,1
5,32,1
6,1,1.335670407
6,2,1.288290117
6,3,1.25146354
6,4,1.221818831
6,5,1.197247984
6,6,1.176361735
6,7,1.158204834
6,8,1.142097968
6,9,1.127546056
6,10,1.114183656
6,11,1.101742358
6,12,1.035679059
6,13,1.031226978
6,14,1
6,15,1
6,16,1
6,17,1
6,18,1
6,19,1
6,20,1
6,21,1
6,22,1
6,23,1
6,24,1
6,25,1
6,26,1
6,27,1
6,28,1
6,29,1
6,30,1
6,31,1
6,32,1
7,1,1.275522635
7,2,1.241279129
7,3,1.21343651
7,4,1.190161531
7,5,1.170228708
7,6,1.152786151
7,7,1.137223434
7,8,1.123094034
7,9,1.110068779
7,10,1.097907841
7,11,1.034251035
7,12,1.029905707
7,13,1.02574036
7,14,1
7,15,1
7,16,1
7,17,1
7,18,1
7,19,1
7,20,1
7,21,1
7,22,1
7,23,1
7,24,1
7,25,1
7,26,1
7,27,1
7,28,1
7,29,1
7,30,1
7,31,1
7,32,1
8,1,1.231731106
8,2,1.205516251
8,3,1.183423005
8,4,1.164366613
8,5,1.147585425
8,6,1.132530073
8,7,1.118797765
8,8,1.10609258
8,9,1.037248323
8,10,1.032818212
8,11,1.028577154
8,12,1.024525477
8,13,1
8,14,1
8,15,1
