target,demand,PoA
0.1,-0.9,1
0.1,-0.8,1.65918025
0.1,-0.7,3.047503348
0.1,-0.6,8.644351766
0.1,-0.5,10.55535648
0.1,-0.4,12.4650849
0.1,-0.3,14.36550504
0.1,-0.2,16.22793418
0.1,-0.1,17.99255783
0.1,0,19.58312322
0.1,0.1,20.94171477
0.1,0.2,22.05107766
0.1,0.3,22.93003755
0.1,0.4,23.61574397
0.1,0.5,24.1484737
0.1,0.6,24.56377465
0.1,0.7,24.89010647
0.1,0.8,25.14917598
0.1,0.9,25.35717252
0.1,1,25.52607759
0.1,1.1,25.664765
0.1,1.2,25.77984359
0.1,1.3,25.876276
0.1,1.4,25.95782465
0.1,1.5,26.02737118
0.1,1.6,26.08714541
0.1,1.7,26.13889032
0.1,1.8,26.18398165
0.1,1.9,26.22351543
0.1,2,26.25837261
0.15,-0.9,1
0.15,-0.8,1.65918025
0.15,-0.7,1.729203491
0.15,-0.6,2.724918655
0.15,-0.5,3.279958768
0.15,-0.4,3.840226312
0.15,-0.3,4.400978437
0.15,-0.2,4.952293425
0.15,-0.1,5.475369121
0.15,0,5.946787579
0.15,0.1,6.348918159
0.15,0.2,6.676537045
0.15,0.3,6.935338412
0.15,0.4,7.136522582
0.15,0.5,7.292202236
0.15,0.6,7.413042726
0.15,0.7,7.507562844
0.15,0.8,7.582244753
0.15,0.9,7.64191132
0.15,1,7.690123066
0.15,1.1,7.729510337
0.15,1.2,7.762027031
0.15,1.3,7.789136469
0.15,1.4,7.811945093
0.15,1.5,7.831298016
0.15,1.6,7.847847397
0.15,1.7,7.862101583
0.15,1.8,7.874460697
0.15,1.9,7.885242618
0.15,2,7.894702126
0.2,-0.9,1
0.2,-0.8,1
0.2,-0.7,1.258528096
0.2,-0.6,1.481746581
0.2,-0.5,2.549430396
0.2,-0.4,2.974279313
0.2,-0.3,3.401385602
0.2,-0.2,3.822368542
0.2,-0.1,4.222347141
0.2,0,4.583069311
0.2,0.1,4.890841495
0.2,0.2,5.141571959
0.2,0.3,5.33959341
0.2,0.4,5.493484193
0.2,0.5,5.612529413
0.2,0.6,5.704904964
0.2,0.7,5.77713973
0.2,0.8,5.834200047
0.2,0.9,5.879779557
0.2,1,5.916604019
0.2,1.1,5.94668627
0.2,1.2,5.971520895
0.2,1.3,5.992226788
0.2,1.4,6.009649636
0.2,1.5,6.024435157
0.2,1.6,6.03708147
0.2,1.7,6.04797673
0.2,1.8,6.057426365
0.2,1.9,6.065672961
0.2,2,6.072910904
0.25,-0.9,1
0.25,-0.8,1
0.25,-0.7,1
0.25,-0.6,1.203197575
0.25,-0.5,1.73031667
0.25,-0.4,1.991972956
0.25,-0.3,2.259728642
0.25,-0.2,2.526225855
0.25,-0.1,2.780712308
0.25,0,3.010703268
0.25,0.1,3.206965438
0.25,0.2,3.366676393
0.25,0.3,3.492569196
0.25,0.4,3.590164122
0.25,0.5,3.665447811
0.25,0.6,3.723688455
0.25,0.7,3.769087
0.25,0.8,3.804833316
0.25,0.9,3.833295178
0.25,1,3.85621629
0.25,1.1,3.874881544
0.25,1.2,3.890242932
0.25,1.3,3.903011581
0.25,1.4,3.913723803
0.25,1.5,3.922788196
0.25,1.6,3.930519276
0.25,1.7,3.937161601
0.25,1.8,3.9429072
0.25,1.9,3.947908271
0.25,2,3.952286521
0.3,-0.9,1
0.3,-0.8,1
0.3,-0.7,1
0.3,-0.6,1
0.3,-0.5,1.258492038
0.3,-0.4,1.754593041
0.3,-0.3,1.982380707
0.3,-0.2,2.210619572
0.3,-0.1,2.429347304
0.3,0,2.627365656
0.3,0.1,2.79645761
0.3,0.2,2.934064462
0.3,0.3,3.042498859
0.3,0.4,3.126515558
0.3,0.5,3.191284412
0.3,0.6,3.723688455
0.3,0.7,3.769087
0.3,0.8,3.804833316
0.3,0.9,3.833295178
0.3,1,3.85621629
0.3,1.1,3.874881544
0.3,1.2,3.890242932
0.3,1.3,3.903011581
0.3,1.4,3.913723803
0.3,1.5,3.922788196
0.3,1.6,3.930519276
0.3,1.7,3.937161601
0.3,1.8,3.9429072
0.3,1.9,3.947908271
0.3,2,3.952286521
0.35,-0.9,1
0.35,-0.8,1
0.35,-0.7,1
0.35,-0.6,1
0.35,-0.5,1.076088311
0.35,-0.4,1.407037867
0.35,-0.3,1.568441055
0.35,-0.2,1.734264437
0.35,-0.1,1.895271354
0.35,0,2.041950613
0.35,0.1,2.167487373
0.35,0.2,2.514351673
0.35,0.3,2.604895541
0.35,0.4,3.126515558
0.35,0.5,3.191284412
0.35,0.6,3.241357084
0.35,0.7,3.280362587
0.35,0.8,3.311055353
0.35,0.9,3.33547882
0.35,1,3.355136925
0.35,1.1,3.371137174
0.35,1.2,3.384299601
0.35,1.3,3.395236369
0.35,1.4,3.404408864
0.35,1.5,3.412168385
0.35,1.6,3.418785185
0.35,1.7,3.424469283
0.35,1.8,3.429385502
0.35,1.9,3.433664412
0.35,2,3.437410371
0.4,-0.9,1
0.4,-0.8,1
0.4,-0.7,1
0.4,-0.6,1
0.4,-0.5,1
0.4,-0.4,1.153784033
0.4,-0.3,1.325783642
0.4,-0.2,1.592780964
0.4,-0.1,1.735800545
0.4,0,2.041950613
0.4,0.1,2.167487373
0.4,0.2,2.269637675
0.4,0.3,2.350008206
0.4,0.4,2.412130809
0.4,0.5,2.459881526
0.4,0.6,2.496678819
0.4,0.7,2.525246639
0.4,0.8,2.547649299
0.4,0.9,2.565415186
0.4,1,2.579666629
0.4,1.1,2.591228138
0.4,1.2,2.600708699
0.4,1.3,2.608561799
0.4,1.4,2.615128371
0.4,1.5,2.620667363
0.4,1.6,2.625377497
0.4,1.7,2.629412833
0.4,1.8,2.632893991
0.4,1.9,2.635916308
0.4,2,2.63855581
0.45,-0.9,1
0.45,-0.8,1
0.45,-0.7,1
0.45,-0.6,1
0.45,-0.5,1
0.45,-0.4,1
0.45,-0.3,1.131780215
0.45,-0.2,1.358983036
0.45,-0.1,1.467947823
0.45,0,1.683914368
0.45,0.1,1.780945167
0.45,0.2,2.07027644
0.45,0.3,2.142165172
0.45,0.4,2.19770214
0.45,0.5,2.240358348
0.45,0.6,2.273201186
0.45,0.7,2.298675859
0.45,0.8,2.318634994
0.45,0.9,2.334449494
0.45,1,2.347125339
0.45,1.1,2.357400981
0.45,1.2,2.3658214
0.45,1.3,2.37279208
0.45,1.4,2.378617618
0.45,1.5,2.383529178
0.45,1.6,2.387704019
0.45,1.7,2.391279461
0.45,1.8,2.394362942
0.45,1.9,2.397039317
0.45,2,2.399376216
0.5,-0.9,1
0.5,-0.8,1
0.5,-0.7,1
0.5,-0.6,1
0.5,-0.5,1
0.5,-0.4,1
0.5,-0.3,1.131780215
0.5,-0.2,1.20840906
0.5,-0.1,1.381216029
0.5,0,1.569218937
0.5,0.1,1.656680181
0.5,0.2,1.728055544
0.5,0.3,1.784180203
0.5,0.4,1.827450048
0.5,0.5,1.860586127
0.5,0.6,1.886010821
0.5,0.7,1.905658376
0.5,0.8,1.920993349
0.5,0.9,1.933097593
0.5,1,1.942763134
0.5,1.1,1.950569838
0.5,1.2,1.956944451
0.5,1.3,1.962203573
0.5,1.4,1.966584344
0.5,1.5,1.970266216
0.5,1.6,1.973386404
0.5,1.7,1.976050913
0.5,1.8,1.978342453
0.5,1.9,1.980326178
0.5,2,1.982053882
0.55,-0.9,1
0.55,-0.8,1
0.55,-0.7,1
0.55,-0.6,1
0.55,-0.5,1
0.55,-0.4,1
0.55,-0.3,1
0.55,-0.2,1.082066982
0.55,-0.1,1.231153146
0.55,0,1.300215652
0.55,0.1,1.436096526
0.55,0.2,1.61540355
0.55,0.3,1.666151797
0.55,0.4,1.705268642
0.55,0.5,1.735203927
0.55,0.6,1.758151344
0.55,0.7,1.775866035
0.55,0.8,1.78967757
0.55,0.9,1.800567844
0.55,1,1.809255258
0.55,1.1,1.816265347
0.55,1.2,1.821984517
0.55,1.3,1.826699163
0.55,1.4,1.830623591
0.55,1.5,1.833919819
0.55,1.6,1.836711611
0.55,1.7,1.839094495
0.55,1.8,1.841142941
0.55,1.9,1.842915564
0.55,2,1.982053882
0.6,-0.9,1
0.6,-0.8,1
0.6,-0.7,1
0.6,-0.6,1
0.6,-0.5,1
0.6,-0.4,1
0.6,-0.3,1
0.6,-0.2,1
0.6,-0.1,1.097635688
0.6,0,1.180144924
0.6,0.1,1.361206794
0.6,0.2,1.411474441
0.6,0.3,1.45111765
0.6,0.4,1.481651001
0.6,0.5,1.504958965
0.6,0.6,1.522764049
0.6,0.7,1.536454266
0.6,0.8,1.547083038
0.6,0.9,1.555427846
0.6,1,1.659520956
0.6,1.1,1.665477923
0.6,1.2,1.670323211
0.6,1.3,1.674305679
0.6,1.4,1.677611127
0.6,1.5,1.833919819
0.6,1.6,1.836711611
0.6,1.7,1.839094495
0.6,1.8,1.841142941
0.6,1.9,1.842915564
0.6,2,1.844458919
0.65,-0.9,1
0.65,-0.8,1
0.65,-0.7,1
0.65,-0.6,1
0.65,-0.5,1
0.65,-0.4,1
0.65,-0.3,1
0.65,-0.2,1
0.65,-0.1,1.006091366
0.65,0,1.139489028
0.65,0.1,1.178252355
0.65,0.2,1.263061942
0.65,0.3,1.376556169
0.65,0.4,1.40390544
0.65,0.5,1.424779452
0.65,0.6,1.440713968
0.65,0.7,1.536454266
0.65,0.8,1.547083038
0.65,0.9,1.555427846
0.65,1,1.562056443
0.65,1.1,1.56738307
0.65,1.2,1.571711386
0.65,1.3,1.575265733
0.65,1.4,1.578213432
0.65,1.5,1.580680556
0.65,1.6,1.582763098
0.65,1.7,1.584534911
0.65,1.8,1.586053384
0.65,1.9,1.587363553
0.65,2,1.58850108
0.7,-0.9,1
0.7,-0.8,1
0.7,-0.7,1
0.7,-0.6,1
0.7,-0.5,1
0.7,-0.4,1
0.7,-0.3,1
0.7,-0.2,1
0.7,-0.1,1
0.7,0,1.010814193
0.7,0.1,1.093892029
0.7,0.2,1.210982266
0.7,0.3,1.237076387
0.7,0.4,1.257239702
0.7,0.5,1.272614662
0.7,0.6,1.34708795
0.7,0.7,1.357345925
0.7,0.8,1.365273783
0.7,0.9,1.469889845
0.7,1,1.475796174
0.7,1.1,1.480537341
0.7,1.2,1.484386104
0.7,1.3,1.487543777
0.7,1.4,1.490160349
0.7,1.5,1.492348716
0.7,1.6,1.494194745
0.7,1.7,1.495764429
0.7,1.8,1.497109001
0.7,1.9,1.498268624
0.7,2,1.499275075
0.75,-0.9,1
0.75,-0.8,1
0.75,-0.7,1
0.75,-0.6,1
0.75,-0.5,1
0.75,-0.4,1
0.75,-0.3,1
0.75,-0.2,1
0.75,-0.1,1
0.75,0,1
0.75,0.1,1.015933668
0.75,0.2,1.081173792
0.75,0.3,1.13195111
0.75,0.4,1.204739695
0.75,0.5,1.217928443
0.75,0.6,1.28431785
0.75,0.7,1.293272209
0.75,0.8,1.300185365
0.75,0.9,1.305581222
0.75,1,1.309842157
0.75,1.1,1.31324645
0.75,1.2,1.315997344
0.75,1.3,1.318244346
0.75,1.4,1.320098446
0.75,1.5,1.321642872
0.75,1.6,1.322940693
0.75,1.7,1.324040199
0.75,1.8,1.324978743
0.75,1.9,1.325785503
0.75,2,1.326483487
0.8,-0.9,1
0.8,-0.8,1
0.8,-0.7,1
0.8,-0.6,1
0.8,-0.5,1
0.8,-0.4,1
0.8,-0.3,1
0.8,-0.2,1
0.8,-0.1,1
0.8,0,1
0.8,0.1,1
0.8,0.2,1.020671702
0.8,0.3,1.094355822
0.8,0.4,1.104667522
0.8,0.5,1.11256236
0.8,0.6,1.162945218
0.8,0.7,1.168789363
0.8,0.8,1.241572449
0.8,0.9,1.246191694
0.8,1,1.249835667
0.8,1.1,1.252744128
0.8,1.2,1.255092137
0.8,1.3,1.257008386
0.8,1.4,1.258588328
0.8,1.5,1.259903477
0.8,1.6,1.261007965
0.8,1.7,1.2619432
0.8,1.8,1.262741179
0.8,1.9,1.263426872
0.8,2,1.26401995
0.85,-0.9,1
0.85,-0.8,1
0.85,-0.7,1
0.85,-0.6,1
0.85,-0.5,1
0.85,-0.4,1
0.85,-0.3,1
0.85,-0.2,1
0.85,-0.1,1
0.85,0,1
0.85,0.1,1
0.85,0.2,1
0.85,0.3,1
0.85,0.4,1.027772674
0.85,0.5,1.074076942
0.85,0.6,1.118567009
0.85,0.7,1.123144766
0.85,0.8,1.12666079
0.85,0.9,1.129388806
0.85,1,1.131529522
0.85,1.1,1.133229051
0.85,1.2,1.134593875
0.85,1.3,1.135702037
0.85,1.4,1.136611214
0.85,1.5,1.137364444
0.85,1.6,1.13799417
0.85,1.7,1.138525105
0.85,1.8,1.138976265
0.85,1.9,1.189547075
0.85,2,1.189974843
0.9,-0.9,1
0.9,-0.8,1
0.9,-0.7,1
0.9,-0.6,1
0.9,-0.5,1
0.9,-0.4,1
0.9,-0.3,1
0.9,-0.2,1
0.9,-0.1,1
0.9,0,1
0.9,0.1,1
0.9,0.2,1
0.9,0.3,1
0.9,0.4,1
0.9,0.5,1
0.9,0.6,1.031997152
0.9,0.7,1.033376714
0.9,0.8,1.084204585
0.9,0.9,1.086167886
0.9,1,1.087708746
0.9,1.1,1.088932077
0.9,1.2,1.089914475
0.9,1.3,1.090712134
0.9,1.4,1.136611214
0.9,1.5,1.137364444
0.9,1.6,1.13799417
0.9,1.7,1.138525105
0.9,1.8,1.138976265
0.9,1.9,1.139362428
0.9,2,1.139695192
0.95,-0.9,1
0.95,-0.8,1
0.95,-0.7,1
0.95,-0.6,1
0.95,-0.5,1
0.95,-0.4,1
0.95,-0.3,1
0.95,-0.2,1
0.95,-0.1,1
0.95,0,1
0.95,0.1,1
0.95,0.2,1
0.95,0.3,1
0.95,0.4,1
0.95,0.5,1
0.95,0.6,1
0.95,0.7,1
0.95,0.8,1
0.95,0.9,1
0.95,1,1
0.95,1.1,1
0.95,1.2,1.036750524
0.95,1.3,1.037066533
0.95,1.4,1.037323442
0.95,1.5,1.037534401
0.95,1.6,1.092362341
0.95,1.7,1.092744773
0.95,1.8,1.093069864
0.95,1.9,1.093348247
0.95,2,1.093588262
1,-0.9,1
1,-0.8,1
1,-0.7,1
1,-0.6,1
1,-0.5,1
1,-0.4,1
1,-0.3,1
1,-0.2,1
1,-0.1,1
1,0,1
1,0.1,1
1,0.2,1
1,0.3,1
1,0.4,1
1,0.5,1
1,0.6,1
1,0.7,1
1,0.8,1
1,0.9,1
1,1,1
1,1.1,1
1,1.2,1
1,1.3,1
1,1.4,1
1,1.5,1
1,1.6,1
1,1.7,1
1,1.8,1
1,1.9,1
1,2,1
